gen	best_of_gen	nevals	avg    	std    	min  	max  
16 	7985       	32    	10386.9	2758.84	7985	17133
17 	7985       	38    	9327.34	1983.84	7985	14808
18 	7985       	35    	10047.2	2515.7 	7985	17945
19 	7985       	41    	9341.1 	2018.21	7985	15100
20 	7985       	39    	9708.88	2019.84	7985	14541
run 5: 7985.00 15 487
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11357      	50    	15709.3	2112.92	11357	19646
1  	10314      	32    	13565.6	1602.5 	10314	16376
2  	7985       	42    	12411.3	2006.95	7985 	18122
3  	7985       	40    	11696.1	2377.93	7985 	18065
4  	7985       	38    	10357.8	1883.1 	7985 	14347
5  	7985       	39    	10322.9	2195.32	7985 	16355
6  	7985       	38    	10085.4	2200.01	7985 	15481
7  	7985       	41    	10382.2	2666.51	7985 	17277
8  	7985       	36    	9906.42	2047.17	7985 	15061
9  	7985       	39    	10057.8	2510.99	7985 	16947
10 	7985       	42    	10341.5	2393.91	7985 	17100
11 	7985       	42    	10502  	2512.33	7985 	16571
12 	7985       	40    	10674.9	2242.88	7985 	15892
13 	7985       	39    	9794.74	2286.31	7985 	16997
14 	7985       	35    	10158.6	2348.26	7985 	15946
15 	7985       	38    	10091.2	2446.31	7985 	15872
16 	7985       	42    	10480.1	2453.59	7985 	16155
17 	7985       	41    	10158  	2609.1 	7985 	16185
18 	7985       	39    	10033.5	2369.89	7985 	16568
19 	7985       	32    	10172.2	2458.03	7985 	16099
20 	7985       	37    	9941.76	2310.54	7985 	15258
run 6: 7985.00 21 506
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11377      	50    	16043.5	1929.07	11377	20815
1  	7985       	38    	14486.7	2328.09	7985 	20019
2  	7985       	37    	13067.4	2411.73	7985 	16979
3  	7985       	30    	12062.9	1929.14	7985 	15374
4  	7985       	31    	11123.5	2180.98	7985 	15624
5  	7985       	37    	10250  	2337.81	7985 	15818
6  	7985       	28    	9889.74	2424.64	7985 	17386
7  	7985       	30    	9595.24	1997.14	7985 	16295
8  	7985       	39    	9703.32	2044.81	7985 	15490
9  	7985       	38    	9815.84	2227.6 	7985 	14541
10 	7985       	40    	10591.5	2826.85	7985 	15818
11 	7985       	41    	10146.1	2503.21	7985 	16487
12 	7985       	29    	9577.5 	2244.95	7985 	15872
13 	7985       	33    	10394.4	2698.58	7985 	16086
14 	7985       	41    	10463.8	2692.92	7985 	15569
15 	7985       	37    	10340  	2805.16	7985 	16965
16 	7985       	32    	10121.7	2554.58	7985 	16155
17 	7985       	41    	10029.8	2347.4 	7985 	15354
18 	7985       	34    	9595.7 	2173.22	7985 	16103
19 	7985       	36    	10227.5	2503.02	7985 	16395
20 	7985       	45    	10096.9	2262.63	7985 	15173
run 7: 7985.00 28 483
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	10793      	50    	15757.1	1936.06	10793	20012
1  	9906       	32    	14193.5	1683.93	9906 	18385
2  	8387       	32    	12891.1	2026.39	8387 	17488
3  	7985       	32    	11751.5	2184.99	7985 	18179
4  	7985       	38    	11187.1	2432.67	7985 	17305
5  	7985       	33    	10802.2	2322.92	7985 	16438
6  	7985       	30    	10324.6	2193.6 	7985 	16581
7  	7985       	37    	10606.9	2344.22	7985 	15708
8  	7985       	40    	10642.2	2433.57	7985 	16286
9  	7985       	37    	9875.6 	2322.77	7985 	15983
10 	7985       	41    	9854.06	2318.24	7985 	17962
11 	7985       	40    	10192.6	2189.21	7985 	15818
12 	7985       	36    	10468.5	2620.54	7985 	16659
13 	7985       	40    	10388.3	2550.67	7985 	16362
14 	7985       	36    	9818.92	2492.91	7985 	18389
15 	7985       	39    	10112.6	2288.74	7985 	16858
16 	7985       	42    	10414.8	2494.3 	7985 	16155
17 	7985       	40    	10151.8	2140.88	7985 	15209
18 	7985       	43    	10850  	2515.3 	7985 	15405
19 	7985       	41    	10374.1	2176.34	7985 	15872
20 	7985       	36    	10595.3	2711.56	7985 	16889
run 8: 7985.00 24 511
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11008      	50    	15334.4	1987.47	11008	20897
1  	9360       	33    	13812.1	2001.05	9360 	18342
2  	8387       	43    	12503.7	1995.05	8387 	17808
3  	8387       	39    	11538.6	1753.39	8387 	15229
4  	8387       	33    	10905.9	2053.97	8387 	16228
5  	8387       	41    	10861  	2181.55	8387 	16629
6  	8387       	38    	10462.1	2313.39	8387 	16114
7  	7985       	42    	10481.5	2340.96	7985 	16465
8  	7985       	44    	11007.1	2622.48	7985 	16671
9  	7985       	38    	10646.2	2539.12	7985 	16139
10 	7985       	40    	10147  	2197.17	7985 	16180
11 	7985       	37    	10025.9	2027.84	7985 	16217
12 	7985       	39    	10277.3	2636.53	7985 	16452
13 	7985       	34    	9901.32	2015.38	7985 	15425
14 	7985       	37    	10291.3	2462.37	7985 	17094
15 	7985       	32    	10307.7	2489.92	7985 	16236
16 	7985       	36    	9158.1 	2082.85	7985 	16243
17 	7985       	36    	9786.86	2189.79	7985 	14451
18 	7985       	37    	9986.96	2334.32	7985 	16487
19 	7985       	43    	10415.2	2569.95	7985 	16130
20 	7985       	39    	10314.8	2528.32	7985 	16125
run 9: 7985.00 24 481
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	11399      	50    	15386.9	1925.04	11399	20351
1  	8762       	44    	13740  	2053.88	8762 	19463
2  	8479       	34    	12404.2	2237.1 	8479 	16558
3  	8479       	36    	11811.1	2404.06	8479 	17237
4  	8479       	38    	10877.4	2044.57	8479 	17017
5  	8479       	43    	10907.2	2383.85	8479 	17212
6  	8479       	38    	10659.9	1972.09	8479 	15155
7  	8479       	39    	10584.1	2394.24	8479 	16242
8  	8479       	36    	10678.7	2443.3 	8479 	16311
9  	8479       	37    	10218.1	2189.66	8479 	16228
10 	8479       	33    	9855.2 	1824.24	8479 	14529
11 	8479       	36    	10421.8	2570.22	8479 	18217
12 	8479       	34    	9955.78	2185.72	8479 	18236
13 	8479       	33    	10177.5	1991.34	8479 	15591
14 	8479       	35    	10289.6	2342.6 	8479 	16016
15 	8479       	38    	10130.9	2001.05	8479 	15571
16 	8479       	36    	11250.2	2660.43	8479 	16341
17 	8479       	38    	10658.6	2321.38	8479 	16446
18 	8479       	33    	10306.6	2433.64	8479 	17601
19 	8479       	35    	10102.7	2255.95	8479 	16109
20 	8479       	43    	11007.3	2476   	8479 	16461
run 0: 8479.00 20 498
gen	best_of_gen	nevals	avg    	std 	min  	max  
0  	11224      	50    	15906.8	2082	11224	21666
1  	8835       	42    	14493.9	2170.69	8835 	19632
2  	8835       	35    	13135.8	2238.17	8835 	19369
3  	8835       	38    	12247.8	2093.61	8835 	18278
4  	8764       	37    	11352.8	1981.74	8764 	17084
5  	8479       	38    	10963.8	2102.52	8479 	17209
6  	8479       	39    	10643.7	2091.6 	8479 	16174
7  	8479       	40    	10704.3	2006.97	8479 	15302
8  	8479       	39    	9919.82	1824.95	8479 	14581
9  	8479       	38    	10550.3	2318.53	8479 	15504
10 	8479       	39    	10329.8	2001.32	8479 	15207
11 	8479       	35    	10081.7	2130.85	8479 	16778
12 	8479       	35    	10601.7	2273.9 	8479 	16242
13 	8479       	40    	10783.1	2634.06	8479 	16596
14 	8479       	33    	10175.7	2257.16	8479 	15939
15 	8479       	40    	10644.8	2434.06	8479 	16736
16 	8479       	31    	10460.5	2453.84	8479 	16260
17 	8479       	39    	10618.1	2321.58	8479 	16736
18 	8479       	38    	9964.16	1947.2 	8479 	16577
19 	8479       	41    	10260.5	2013.52	8479 	15492
20 	8479       	42    	10618  	2361.13	8479 	16310
run 1: 8479.00 23 521
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	10805      	50    	15338.8	1807.86	10805	19394
1  	8862       	34    	13415.2	1546.52	8862 	16098
2  	8479       	42    	12599.3	2070.92	8479 	17879
3  	8479       	38    	11575.7	1975.56	8479 	17026
4  	8479       	40    	11274.8	2067.79	8479 	15696
5  	8479       	35    	11218.7	2159.48	8479 	16030
6  	8479       	41    	10458.6	2215.22	8479 	16595
7  	8479       	41    	10198.1	2030.76	8479 	15815
8  	8479       	36    	10441.8	2335.23	8479 	15995
9  	8479       	40    	10789.5	2368.79	8479 	17067
10 	8479       	40    	10269.1	2065.41	8479 	16419
11 	8479       	35    	9954.58	2029.6 	8479 	15062
12 	8479       	41    	10030.7	2045.21	8479 	15893
13 	8479       	40    	10339.5	2297.33	8479 	16532
14 	8479       	38    	10666.7	2079.02	8479 	15320
15 	8479       	32    	10342.8	2397.68	8479 	16247
16 	8479       	41    	10447.1	2408.33	8479 	17782
17 	8479       	40    	10362.7	2178.1 	8479 	17019
18 	8479       	36    	10443.4	2631.41	8479 	16372
19 	8479       	36    	10321.9	2383.89	8479 	15867
20 	8479       	41    	10409.7	2409.39	8479 	15681
run 2: 8479.00 28 483
gen	best_of_gen	nevals	avg    	std    	min  	max  
