gen	best_of_gen	nevals	avg    	std    	min  	max  
100	14981      	72    	20629.2	5655.34	14981	37168
run 1: 14981.00 55 4963
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	26783      	100   	35657.7	3947.16	26783	47679
1  	21689      	76    	32190.8	3503.48	21689	43106
2  	21689      	78    	30325.6	3528.05	21689	38262
3  	20235      	78    	28774.1	4021.6 	20235	37683
4  	20235      	77    	26934.6	4256.59	20235	40741
5  	18424      	72    	26963.2	4142.24	18424	37432
6  	18424      	81    	25812  	4246.3 	18424	35568
7  	16835      	78    	25616.9	4237.37	16835	38991
8  	16835      	73    	25206.9	4571.79	16835	39892
9  	16835      	83    	25469.7	4481.7 	16835	37571
10 	16835      	82    	24771.5	4711.81	16835	34514
11 	15397      	80    	24727.6	5025.26	15397	36878
12 	15397      	68    	24034.1	5389.79	15397	35337
13 	15397      	64    	23388.2	5118.97	15397	37741
14 	15397      	75    	21976.6	4818.29	15397	31892
15 	15198      	76    	22912.4	5494.39	15182	33573
16 	15198      	79    	22865.2	5872.83	15182	38329
17 	15198      	64    	21851  	5080.76	15182	34071
18 	15198      	71    	21475.6	5669.01	15182	36914
19 	15198      	73    	21483.6	5665.26	15182	35787
20 	15198      	75    	20780.1	5688.19	15182	36086
21 	15198      	76    	21222.6	5367.97	15182	33564
22 	15198      	78    	21656  	5952.79	15182	37768
23 	15198      	77    	20672  	5508.97	15182	33842
24 	15182      	74    	20617.8	6174.9 	15182	36721
25 	15182      	84    	21360.1	5809.06	15182	35650
26 	15182      	79    	21431.7	6087.24	15182	36163
27 	15182      	78    	21896.6	5907.86	15182	33774
28 	15182      	76    	22488.2	6249.26	15182	37047
29 	15182      	73    	20745.9	5525.76	15182	35009
30 	15182      	77    	20493.8	5331.03	15182	34320
31 	15182      	79    	20272.9	5412.16	15182	34635
32 	15182      	77    	20694.8	5675.96	15182	38783
33 	15182      	79    	21696  	5732.42	15182	35051
34 	15182      	77    	21414.9	5309.84	15182	35715
35 	15182      	72    	20928  	5548.65	15182	35650
36 	15182      	79    	21560.6	5826.43	15182	36667
37 	15182      	79    	21734.3	5632.66	15182	36965
38 	15182      	65    	20633.5	5454.54	15182	34828
39 	15182      	67    	20663.2	5484.84	15182	34451
40 	15182      	71    	21071.2	6042.17	15182	33839
41 	15182      	77    	20280.6	5769.75	15182	32884
42 	15182      	73    	20509.4	5650.73	15182	34517
43 	15182      	74    	20834.4	5856.95	15182	33880
44 	15182      	77    	20678.4	5446.18	15182	33912
45 	15182      	73    	21254.2	5968.99	15182	34824
46 	15182      	71    	21253.7	5382.23	15182	32655
47 	15182      	78    	21748  	5625.65	15182	37289
48 	15182      	72    	20562.3	5461.64	15182	34097
49 	15182      	68    	20786.2	5592.32	15182	35951
50 	15182      	76    	21218.5	5855.97	15182	32925
51 	15182      	85    	20927.9	5523.27	15182	33376
52 	15182      	74    	21823.4	6361.11	15182	36336
53 	15182      	76    	21873.3	5373.55	15182	33946
54 	15182      	81    	22292  	6000.14	15182	38551
55 	15182      	70    	22833.4	6063.77	15182	37645
56 	15182      	89    	22691.9	5563.13	15182	36166
57 	15182      	73    	21703.7	5737.73	15182	34382
58 	15182      	70    	21522.8	5694.98	15182	34015
59 	15182      	80    	21852.7	6016.72	15182	34191
60 	15182      	72    	21882  	5196.47	15182	32360
61 	15182      	74    	22432.2	5778.85	15182	35565
62 	15182      	77    	22017.4	5616.89	15182	35838
63 	15182      	63    	21031.4	5534.18	15182	33818
64 	15182      	73    	20985.5	6024.12	15182	34019
65 	15182      	76    	20592.9	5751.04	15182	37627
