Instances  Hoang  GA-R   GA-I3   GA-I5   GALS-R   GALS-I3   GALS-I5  
 optimal Cost GAP cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time
B2-20-100-100-4.ctp 34073 34073 1 41180 17.2583778533 00:13:03.06 35992 5.3317403868 00:20:30.35 35621 4.3457511019 00:18:47.16 35321 3.5333087965 05:39:01.18 34791 2.0637521198 02:23:11.56 34975 2.5789849893 07:03:34.05
B2-20-100-100-5.ctp 29412 29412 4.24 34531 14.8243607194 00:13:11.38 30809 4.5343893018 00:21:31.43 30952 4.9754458516 00:18:57.69 29548 0.4602680384 06:59:54.62 30177 2.5350432449 07:58:11.03 29906 1.6518424396 02:04:14.70
B2-20-100-100-6.ctp 25960 25960 4.99 37148 30.1173683644 00:36:20.48 27877 6.8766366539 00:22:10.91 28546 9.0590625657 00:17:39.91 26980 3.7805782061 09:54:43.21 26120 0.6125574273 07:15:03.96 26328 1.3977514433 02:03:08.89
B2-20-100-100-8.ctp 22156 22156 8.97 35202 37.0603942958 00:14:25.14 23640 6.2774957699 00:21:48.23 24857 10.8661544032 00:20:45.86 23283 4.8404415239 05:12:37.61 22655 2.2026042816 03:07:59.42 23112 4.13637937 05:59:23.85
C1-1-25-75-4.ctp 6161 6161 0 6161 0 00:02:01.07 6161 0 00:01:28.34 6161 0 00:02:27.96 6161 0 00:01:42.25 6161 0 00:04:53.02 6161 0 00:03:13.82
C1-1-25-75-5.ctp 6161 6161 0 6161 0 00:01:57.64 6161 0 00:01:21.42 6161 0 00:02:31.75 6161 0 00:01:43.22 6161 0 00:05:16.72 6161 0 00:03:51.56
C1-1-25-75-6.ctp 6161 6161 0 6161 0 00:01:53.88 6161 0 00:01:23.35 6161 0 00:02:27.60 6161 0 00:01:42.21 6161 0 00:05:16.53 6161 0 00:03:42.54
C1-1-25-75-8.ctp 6161 6161 0 6161 0 00:01:54.58 6161 0 00:01:20.78 6161 0 00:02:25.65 6161 0 00:01:42.81 6161 0 00:05:14.54 6161 0 00:03:40.42
C1-1-50-50-4.ctp 11372 11372 0 11372 0 00:07:13.19 11372 0 00:05:12.10 11372 0 00:09:41.81 11372 0 00:09:57.46 11372 0 00:27:49.72 11372 0 00:19:47.61
C1-1-50-50-5.ctp 9900 9900 0 9900 0 00:07:00.85 9900 0 00:05:07.01 9900 0 00:10:17.21 9900 0 00:08:42.01 9900 0 00:23:08.80 9900 0 00:18:36.36
C1-1-50-50-6.ctp 9895 9895 0 9895 0 00:07:06.29 9895 0 00:05:09.13 9895 0 00:07:58.09 9895 0 00:08:42.24 9895 0 00:23:29.20 9895 0 00:16:46.60
C1-1-50-50-8.ctp 8699 8699 0 8699 0 00:07:34.70 8699 0 00:05:07.08 8699 0 00:09:34.07 8699 0 00:08:49.47 8699 0 00:25:31.03 8699 0 00:14:20.04
C1-10-50-50-4.ctp 18212 18212 0 18266 0.2956312274 00:06:54.96 18256 0.2410166521 00:04:51.40 18292 0.4373496611 00:08:51.17 18245 0.1808714716 00:31:28.78 18245 0.1808714716 01:01:34.93 18252 0.2191540653 00:51:13.71
C1-10-50-50-5.ctp 16362 16362 0 16515 0.9264305177 00:07:13.21 16482 0.7280669822 00:05:37.11 16482 0.7280669822 00:08:48.33 16482 0.7280669822 00:31:11.66 16482 0.7280669822 01:02:52.37 16482 0.7280669822 00:52:52.34
C1-10-50-50-6.ctp 14749 14749 0 15093 2.2792022792 00:07:11.44 15284 3.5003925674 00:05:25.14 15141 2.5889967638 00:08:42.93 14749 0 00:26:57.72 15114 2.4149794892 00:40:53.38 14915 1.1129735166 00:42:55.65
C1-10-50-50-8.ctp 12394 12414 0.161108426 12578 1.4628716807 00:06:53.63 12394 0 00:05:49.21 12674 2.2092472779 00:09:17.68 12414 0.161108426 00:23:54.40 12394 0 00:21:33.72 12394 0 00:40:28.52
