A2-20-100-100-6.ctp;20966;20966;5;[[28,;83,;10,;15,;8,;6],;[19,;7,;16,;87,;4,;85],;[26,;12,;14],;[30,;5,;1,;67,;2,;68],;[11,;3,;13,;9,;18,;17]];;;;;;;
A2-20-100-100-8.ctp;18418;18458;4;[[17,;18,;47,;10,;15,;8,;6,;31],;[5,;85,;4,;87,;16,;7,;41,;19],;[14,;12,;26],;[11,;3,;13,;9,;35,;2,;67,;1]];;;;;;;
B2-20-100-100-4.ctp;34073;34062;9;[[2,;10,;92,;7],;[19,;79,;64,;71],;[42,;15,;76,;87],;[18,;91,;16,;17],;[9,;39,;4,;67],;[93,;73,;6,;8],;[13,;62,;12,;1],;[11,;97],;[32,;14,;5,;3]]
B2-20-100-100-5.ctp;29412;29405;7;[[67,;39,;4,;78,;19],;[9,;92,;10,;2,;7],;[87,;18,;91,;16,;17],;[97,;11,;8,;45],;[13,;32,;14,;5,;3],;[93,;59,;42,;57,;6],;[76,;15,;1,;12,;62]]
B2-20-100-100-6.ctp;25960;25960;6;[[13,;62,;12,;1,;15,;42],;[9,;39,;4,;78,;19,;37],;[87,;18,;91,;16,;17,;76],;[8,;57,;6,;11],;[28,;7,;10,;92,;2,;94],;[93,;3,;5,;14,;32,;73]]
B2-20-100-100-8.ctp;22156;22156;5;[[94,;11],;[9,;4,;39,;84,;10,;2,;7,;28],;[3,;5,;14,;32,;62,;12,;1,;13],;[8,;93,;73,;6,;36,;64,;79,;19],;[87,;76,;17,;95,;18,;16,;15,;42]]
C1-1-25-75-5.ctp;6161;6161;1;[[14,;21,;22,;18]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1-10-50-50-4.ctp;18212;18212;4;[[6,;8,;43,;47],;[7,;38,;4,;5],;[3,;2,;35,;9],;[14,;1,;34,;29]];;;;;;;;;;;;;;;;;;
D1-1-50-50-6.ctp;10680;10525;2;[[49,;10,;41,;45],;[38,;36,;9,;17,;30,;6]];;;;;;;;;;;;;;;;;;;;;;;;
C1-1-25-75-4.ctp;6161;6161;1;[[14,;21,;22,;18]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D1-1-50-50-5.ctp;10770;10770;2;[[38,;36,;9,;17,;30],;[45,;6,;41,;10,;49]];;;;;;;;;;;;;;;;;;;;;;;;
C1-5-25-75-6.ctp;9321;9321;2;[[13,;2,;1,;22,;4,;5],;[11,;3]];;;;;;;;;;;;;;;;;;;;;;;;;;
C1-5-25-75-5.ctp;9707;9707;2;[[2,;1,;22,;4,;5],;[11,;13,;3]];;;;;;;;;;;;;;;;;;;;;;;;;;
D1-5-25-75-6.ctp;9669;9669;2;[[7,;6,;23],;[3,;1,;18,;4,;2,;17]];;;;;;;;;;;;;;;;;;;;;;;;;
C1-1-25-75-6.ctp;6161;6161;1;[[14,;21,;22,;18]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D1-5-25-75-5.ctp;10982;10982;2;[[3,;4,;1,;8,;2],;[15,;6,;7]];;;;;;;;;;;;;;;;;;;;;;;;;;
D1-5-25-75-8.ctp;8200;8200;1;[[7,;6,;15,;2,;8,;1,;4,;3]];;;;;;;;;;;;;;;;;;;;;;;;;;
C1-1-50-50-8.ctp;8699;8699;2;[[46,;21,;38,;22,;40,;13,;47,;36],;[39]];;;;;;;;;;;;;;;;;;;;;;;;;
D1-1-25-75-5.ctp;7465;7465;2;[[10,;22,;13,;24,;4],;[23]];;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1-1-25-75-8.ctp;6161;6161;1;[[14,;21,;22,;18]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1-10-50-50-5.ctp;16362;16362;4;[[5,;49,;4,;21,;7],;[9,;47,;43,;8,;6],;[1,;29,;2,;13,;3],;[26]];;;;;;;;;;;;;;;;;;
D1-10-50-50-5.ctp;18576;18576;4;[[36,;1,;25,;9,;8],;[49,;31],;[17,;5,;2,;4,;3],;[38,;30,;6,;35,;7]];;;;;;;;;;;;;;;;;
C1-5-25-75-4.ctp;9898;9898;2;[[1,;22,;4,;5],;[3,;2,;13,;11]];;;;;;;;;;;;;;;;;;;;;;;;;;
D1-1-25-75-8.ctp;6651;6651;1;[[10,;22,;13,;24,;4,;23]];;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1-1-50-50-4.ctp;11372;11372;3;[[36,;47,;13],;[21,;38,;22,;40],;[12,;14]];;;;;;;;;;;;;;;;;;;;;;;;;
D1-10-50-50-8.ctp;14204;14204;3;[[38,;5,;17,;30,;6,;35,;7,;10],;[49],;[2,;8,;9,;25,;1,;18,;4,;3]];;;;;;;;;;;;;;;;;
D1-1-50-50-8.ctp;9361;9361;2;[[10,;45,;35,;30,;17,;9,;36,;38],;[49]];;;;;;;;;;;;;;;;;;;;;;;;;
D1-1-25-75-4.ctp;7671;7671;2;[[13,;24,;4,;23],;[10,;22]];;;;;;;;;;;;;;;;;;;;;;;;;;;;
D1-5-25-75-4.ctp;11820;11820;2;[[3,;15,;6,;7],;[4,;1,;8,;2]];;;;;;;;;;;;;;;;;;;;;;;;;;
C1-5-25-75-8.ctp;7474;7474;1;[[11,;3,;13,;2,;1,;22,;4,;5]];;;;;;;;;;;;;;;;;;;;;;;;;;
C1-10-50-50-6.ctp;14749;14749;3;[[26,;40,;2,;3],;[18,;9,;47,;43,;8,;6],;[5,;7,;21,;4,;49,;1]];;;;;;;;;;;;;;;;;;
C1-10-50-50-8.ctp;12414;12394;2;[[6,;8,;43,;47,;9,;13,;3,;26],;[2,;29,;1,;49,;4,;21,;7,;5]];;;;;;;;;;;;;;;;;;
D1-10-50-50-4.ctp;20982;20982;5;[[4,;1,;36,;3],;[17,;5,;2,;38],;[10,;35,;6,;7],;[49],;[44,;20,;9,;8]];;;;;;;;;;;;;;;;;
D1-1-25-75-6.ctp;6651;6651;1;[[10,;22,;13,;24,;4,;23]];;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1-1-50-50-6.ctp;9895;9895;2;[[40,;22,;38,;21,;46,;14],;[36,;47,;13]];;;;;;;;;;;;;;;;;;;;;;;;;
